url,label,xml_id
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f58/full/full/0/native.jpg,"26v",f057
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f59/full/full/0/native.jpg,"27r",f058
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f60/full/full/0/native.jpg,"27v",f059
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f61/full/full/0/native.jpg,"28r",f060
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f62/full/full/0/native.jpg,"28v",f061
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f63/full/full/0/native.jpg,"29r",f062
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f64/full/full/0/native.jpg,"29v",f063
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f65/full/full/0/native.jpg,"30r",f064
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f66/full/full/0/native.jpg,"30v",f065
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f67/full/full/0/native.jpg,"31r",f066
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f68/full/full/0/native.jpg,"31v",f067
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f69/full/full/0/native.jpg,"32r",f068
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f70/full/full/0/native.jpg,"32v",f069
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f71/full/full/0/native.jpg,"33r",f070
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f72/full/full/0/native.jpg,"33v",f071
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f73/full/full/0/native.jpg,"34r",f072
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f74/full/full/0/native.jpg,"34v",f073
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f75/full/full/0/native.jpg,"35r",f074
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f76/full/full/0/native.jpg,"35v",f075
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f77/full/full/0/native.jpg,"36r",f076
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f78/full/full/0/native.jpg,"36v",f077
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f79/full/full/0/native.jpg,"37r",f078
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f80/full/full/0/native.jpg,"37v",f079
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f81/full/full/0/native.jpg,"38r",f080
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f82/full/full/0/native.jpg,"38v",f081
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f83/full/full/0/native.jpg,"39r",f082
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f84/full/full/0/native.jpg,"39v",f083
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f85/full/full/0/native.jpg,"40r",f084
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f86/full/full/0/native.jpg,"40v",f085
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f87/full/full/0/native.jpg,"41r",f086
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f88/full/full/0/native.jpg,"41v",f087
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f89/full/full/0/native.jpg,"42r",f088
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f90/full/full/0/native.jpg,"42v",f089
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f91/full/full/0/native.jpg,"43r",f090
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f92/full/full/0/native.jpg,"43v",f091
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f93/full/full/0/native.jpg,"44r",f092
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f94/full/full/0/native.jpg,"44v",f093
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f95/full/full/0/native.jpg,"45r",f094
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f96/full/full/0/native.jpg,"45v",f095
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f97/full/full/0/native.jpg,"46r",f096
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f98/full/full/0/native.jpg,"46v",f097
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f99/full/full/0/native.jpg,"47r",f098
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f100/full/full/0/native.jpg,"47v",f099
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f101/full/full/0/native.jpg,"48r",f100
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f102/full/full/0/native.jpg,"48v",f101
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f103/full/full/0/native.jpg,"49r",f102
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f104/full/full/0/native.jpg,"49v",f103
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f105/full/full/0/native.jpg,"50r",f104
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f106/full/full/0/native.jpg,"50v",f105
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f107/full/full/0/native.jpg,"51r",f106
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f108/full/full/0/native.jpg,"51v",f107
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f109/full/full/0/native.jpg,"52r",f108
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f110/full/full/0/native.jpg,"52v",f109
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f111/full/full/0/native.jpg,"53r",f110
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f112/full/full/0/native.jpg,"53v",f111
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f113/full/full/0/native.jpg,"54r",f112
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f114/full/full/0/native.jpg,"54v",f113
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f115/full/full/0/native.jpg,"55r",f114
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f116/full/full/0/native.jpg,"55v",f115
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f117/full/full/0/native.jpg,"56r",f116
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f118/full/full/0/native.jpg,"56v",f117
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f119/full/full/0/native.jpg,"57r",f118
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f120/full/full/0/native.jpg,"57v",f119
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f121/full/full/0/native.jpg,"58r",f120
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f122/full/full/0/native.jpg,"58v",f121
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f123/full/full/0/native.jpg,"59r",f122
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f124/full/full/0/native.jpg,"59v",f123
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f125/full/full/0/native.jpg,"60r",f124
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f126/full/full/0/native.jpg,"60v",f125
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f127/full/full/0/native.jpg,"61r",f126
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f128/full/full/0/native.jpg,"61v",f127
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f129/full/full/0/native.jpg,"62r",f128
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f130/full/full/0/native.jpg,"62v",f129
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f131/full/full/0/native.jpg,"63r",f130
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f132/full/full/0/native.jpg,"63v",f131
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f133/full/full/0/native.jpg,"64r",f132
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f134/full/full/0/native.jpg,"64v",f133
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f135/full/full/0/native.jpg,"65r",f134
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f136/full/full/0/native.jpg,"65v",f135
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f137/full/full/0/native.jpg,"66r",f136
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f138/full/full/0/native.jpg,"66v",f137
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f139/full/full/0/native.jpg,"67r",f138
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f140/full/full/0/native.jpg,"67v",f139
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f141/full/full/0/native.jpg,"68r",f140
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f142/full/full/0/native.jpg,"68v",f141
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f143/full/full/0/native.jpg,"69r",f142
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f144/full/full/0/native.jpg,"69v",f143
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f145/full/full/0/native.jpg,"70r",f144
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f146/full/full/0/native.jpg,"70v",f145
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f147/full/full/0/native.jpg,"71r",f146
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f148/full/full/0/native.jpg,"71v",f147
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f149/full/full/0/native.jpg,"72r",f148
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f150/full/full/0/native.jpg,"72v",f149
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f151/full/full/0/native.jpg,"73r",f150
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f152/full/full/0/native.jpg,"73v",f151
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f153/full/full/0/native.jpg,"74r",f152
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f154/full/full/0/native.jpg,"74v",f153
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f155/full/full/0/native.jpg,"75r",f154
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f156/full/full/0/native.jpg,"75v",f155
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f157/full/full/0/native.jpg,"76r",f156
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f158/full/full/0/native.jpg,"76v",f157
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f159/full/full/0/native.jpg,"77r",f158
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f160/full/full/0/native.jpg,"77v",f159
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f161/full/full/0/native.jpg,"78r",f160
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f162/full/full/0/native.jpg,"78v",f161
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f163/full/full/0/native.jpg,"79r",f162
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f164/full/full/0/native.jpg,"79v",f163
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f165/full/full/0/native.jpg,"80r",f164
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f166/full/full/0/native.jpg,"80v",f165
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f167/full/full/0/native.jpg,"81r",f166
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f168/full/full/0/native.jpg,"81v",f167
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f169/full/full/0/native.jpg,"82r",f168
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f170/full/full/0/native.jpg,"82v",f169
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f171/full/full/0/native.jpg,"83r",f170
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f172/full/full/0/native.jpg,"83v",f171
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f173/full/full/0/native.jpg,"84r",f172
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f174/full/full/0/native.jpg,"84v",f173
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f175/full/full/0/native.jpg,"85r",f174
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f176/full/full/0/native.jpg,"85v",f175
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f177/full/full/0/native.jpg,"86r",f176
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f178/full/full/0/native.jpg,"86v",f177
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f179/full/full/0/native.jpg,"87r",f178
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f180/full/full/0/native.jpg,"87v",f179
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f181/full/full/0/native.jpg,"88r",f180
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f182/full/full/0/native.jpg,"88v",f181
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f183/full/full/0/native.jpg,"89r",f182
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f184/full/full/0/native.jpg,"89v",f183
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f185/full/full/0/native.jpg,"90r",f184
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f186/full/full/0/native.jpg,"90v",f185
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f187/full/full/0/native.jpg,"91r",f186
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f188/full/full/0/native.jpg,"91v",f187
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f189/full/full/0/native.jpg,"92r",f188
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f190/full/full/0/native.jpg,"92v",f189
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f191/full/full/0/native.jpg,"93r",f190
https://gallica.bnf.fr/iiif/ark:/12148/btv1b10500001g/f192/full/full/0/native.jpg,"93v",f191
